entity_id,entity_name,fiscal_year_end,reporting_currency,fx_rate_to_zar,fx_rate_note,total_revenue,cogs,inventory,total_borrowings,interest_expense,ebitda,total_assets,equity,payables,receivables,total_revenue_zar,cogs_zar,inventory_zar,total_borrowings_zar,interest_expense_zar,ebitda_zar,total_assets_zar,equity_zar,payables_zar,receivables_zar,foreign_revenue_pct,data_source,data_quality
E14,Prosus,2025-03-31,USD,18.35,USD/ZAR period-end,6170000000.0,3546000000.0,255000000.0,16406000000.0,549000000.0,484000000.0,72588000000.0,51125000000.0,318000000.0,202000000.0,113219500000.00002,65069100000.00001,4679250000.0,301050100000.0,10074150000.0,8881400000.0,1331989800000.0,938143750000.0001,5835300000.0,3706700000.0000005,,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E14,Prosus,2026-03-31,USD,17.19,USD/ZAR period-end,9705000000.0,5198000000.0,271000000.0,17525000000.0,645000000.0,1053000000.0,79075000000.0,53867000000.0,1109000000.0,570000000.0,166828950000.0,89353620000.0,4658490000.0,301254750000.0,11087550000.0,18101070000.0,1359299250000.0,925973730000.0001,19063710000.0,9798300000.0,,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E15,Naspers,2022-03-31,USD,14.54,USD/ZAR period-end,7940000000.0,5617000000.0,571000000.0,16131000000.0,411000000.0,,71317000000.0,50128000000.0,609000000.0,318000000.0,115447600000.0,81671180000.0,8302339999.999999,234544740000.0,5975940000.0,,1036949180000.0,728861120000.0,8854860000.0,4623720000.0,,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E15,Naspers,2023-03-31,USD,18.15,USD/ZAR period-end,6778000000.0,4883000000.0,415000000.0,16426000000.0,571000000.0,,65498000000.0,44605000000.0,406000000.0,,123020699999.99998,88626450000.0,7532249999.999999,298131900000.0,10363650000.0,,1188788700000.0,809580749999.9999,7368899999.999999,,,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E15,Naspers,2024-03-31,USD,18.95,USD/ZAR period-end,6431000000.0,3966000000.0,355000000.0,16486000000.0,585000000.0,,62275000000.0,41282000000.0,427000000.0,,121867450000.0,75155700000.0,6727250000.0,312409700000.0,11085750000.0,,1180111250000.0,782293900000.0,8091650000.0,,,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E15,Naspers,2025-03-31,USD,18.35,USD/ZAR period-end,7181000000.0,4289000000.0,321000000.0,16783000000.0,586000000.0,,73268000000.0,51211000000.0,365000000.0,,131771350000.00002,78703150000.0,5890350000.0,307968050000.0,10753100000.0,,1344467800000.0,939721850000.0001,6697750000.000001,,,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E16,MTN Group,2022-12-31,ZAR,1.0,n/a (already ZAR),207003000000.0,56197000000.0,1906000000.0,81274000000.0,19728000000.0,89879000000.0,391881000000.0,122343000000.0,56815000000.0,28828000000.0,207003000000.0,56197000000.0,1906000000.0,81274000000.0,19728000000.0,89879000000.0,391881000000.0,122343000000.0,56815000000.0,28828000000.0,0.7554,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E16,MTN Group,2023-12-31,ZAR,1.0,n/a (already ZAR),221056000000.0,63318000000.0,1472000000.0,84049000000.0,18954000000.0,89808000000.0,434714000000.0,150183000000.0,54678000000.0,29352000000.0,221056000000.0,63318000000.0,1472000000.0,84049000000.0,18954000000.0,89808000000.0,434714000000.0,150183000000.0,54678000000.0,29352000000.0,0.7656,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E16,MTN Group,2024-12-31,ZAR,1.0,n/a (already ZAR),188001000000.0,56678000000.0,1213000000.0,79362000000.0,18350000000.0,70066000000.0,430960000000.0,138447000000.0,57942000000.0,34304000000.0,188001000000.0,56678000000.0,1213000000.0,79362000000.0,18350000000.0,70066000000.0,430960000000.0,138447000000.0,57942000000.0,34304000000.0,0.7202,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E16,MTN Group,2025-12-31,ZAR,1.0,n/a (already ZAR),226707000000.0,54676000000.0,1310000000.0,70374000000.0,19979000000.0,97863000000.0,498712000000.0,169733000000.0,63183000000.0,34411000000.0,226707000000.0,54676000000.0,1310000000.0,70374000000.0,19979000000.0,97863000000.0,498712000000.0,169733000000.0,63183000000.0,34411000000.0,0.7746,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E17,Vodacom Group,2022-03-31,ZAR,1.0,n/a (already ZAR),102736000000.0,38624000000.0,1787000000.0,51408000000.0,4229000000.0,39862000000.0,177967000000.0,85466000000.0,,,102736000000.0,38624000000.0,1787000000.0,51408000000.0,4229000000.0,39862000000.0,177967000000.0,85466000000.0,,,0.2228,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E17,Vodacom Group,2023-03-31,ZAR,1.0,n/a (already ZAR),119170000000.0,45942000000.0,2156000000.0,69014000000.0,5569000000.0,45165000000.0,228315000000.0,97427000000.0,,,119170000000.0,45942000000.0,2156000000.0,69014000000.0,5569000000.0,45165000000.0,228315000000.0,97427000000.0,,,0.228,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E17,Vodacom Group,2024-03-31,ZAR,1.0,n/a (already ZAR),150594000000.0,57700000000.0,2321000000.0,71281000000.0,8163000000.0,56172000000.0,240613000000.0,103828000000.0,,,150594000000.0,57700000000.0,2321000000.0,71281000000.0,8163000000.0,56172000000.0,240613000000.0,103828000000.0,,,0.2048,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E17,Vodacom Group,2025-03-31,ZAR,1.0,n/a (already ZAR),152227000000.0,59340000000.0,2287000000.0,75660000000.0,8093000000.0,55563000000.0,249981000000.0,103652000000.0,,,152227000000.0,59340000000.0,2287000000.0,75660000000.0,8093000000.0,55563000000.0,249981000000.0,103652000000.0,,,0.212,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E17,Vodacom Group,2026-03-31,ZAR,1.0,n/a (already ZAR),167652000000.0,64262000000.0,2112000000.0,92877000000.0,8333000000.0,62702000000.0,276433000000.0,107235000000.0,,,167652000000.0,64262000000.0,2112000000.0,92877000000.0,8333000000.0,62702000000.0,276433000000.0,107235000000.0,,,0.2087,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E18,The Bidvest Group,2022-06-30,ZAR,1.0,n/a (already ZAR),99929074000.0,69966260000.0,11375865000.0,25083267000.0,1724673000.0,13320886000.0,96016170000.0,31875342000.0,20498175000.0,16560642000.0,99929074000.0,69966260000.0,11375865000.0,25083267000.0,1724673000.0,13320886000.0,96016170000.0,31875342000.0,20498175000.0,16560642000.0,0.2036,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E18,The Bidvest Group,2023-06-30,ZAR,1.0,n/a (already ZAR),114911518000.0,81570287000.0,14111588000.0,28356369000.0,2096106000.0,15337199000.0,107508522000.0,36331692000.0,23215138000.0,18602251000.0,114911518000.0,81570287000.0,14111588000.0,28356369000.0,2096106000.0,15337199000.0,107508522000.0,36331692000.0,23215138000.0,18602251000.0,0.2174,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E18,The Bidvest Group,2024-06-30,ZAR,1.0,n/a (already ZAR),122615986000.0,87739492000.0,14894387000.0,31805322000.0,2713770000.0,16636141000.0,112581519000.0,38532032000.0,22958643000.0,19168125000.0,122615986000.0,87739492000.0,14894387000.0,31805322000.0,2713770000.0,16636141000.0,112581519000.0,38532032000.0,22958643000.0,19168125000.0,0.2551,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E18,The Bidvest Group,2025-06-30,ZAR,1.0,n/a (already ZAR),126605406000.0,91540464000.0,14835934000.0,39087821000.0,2941305000.0,16424927000.0,124590172000.0,41414557000.0,22554599000.0,20127631000.0,126605406000.0,91540464000.0,14835934000.0,39087821000.0,2941305000.0,16424927000.0,124590172000.0,41414557000.0,22554599000.0,20127631000.0,0.2779,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E19,Aspen Pharmacare,2022-06-30,ZAR,1.0,n/a (already ZAR),38606000000.0,20300000000.0,15763000000.0,22247000000.0,573000000.0,11012000000.0,111375000000.0,70942000000.0,10060000000.0,11948000000.0,38606000000.0,20300000000.0,15763000000.0,22247000000.0,573000000.0,11012000000.0,111375000000.0,70942000000.0,10060000000.0,11948000000.0,0.83,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E19,Aspen Pharmacare,2023-06-30,ZAR,1.0,n/a (already ZAR),40709000000.0,21775000000.0,19606000000.0,29282000000.0,1120000000.0,11100000000.0,134284000000.0,86236000000.0,10180000000.0,13053000000.0,40709000000.0,21775000000.0,19606000000.0,29282000000.0,1120000000.0,11100000000.0,134284000000.0,86236000000.0,10180000000.0,13053000000.0,0.85,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E19,Aspen Pharmacare,2024-06-30,ZAR,1.0,n/a (already ZAR),44706000000.0,25252000000.0,18002000000.0,36455000000.0,2166000000.0,11255000000.0,139155000000.0,84861000000.0,10347000000.0,12664000000.0,44706000000.0,25252000000.0,18002000000.0,36455000000.0,2166000000.0,11255000000.0,139155000000.0,84861000000.0,10347000000.0,12664000000.0,0.85,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E19,Aspen Pharmacare,2025-06-30,ZAR,1.0,n/a (already ZAR),43363000000.0,24234000000.0,18009000000.0,36120000000.0,1643000000.0,9591000000.0,135893000000.0,84893000000.0,10675000000.0,13339000000.0,43363000000.0,24234000000.0,18009000000.0,36120000000.0,1643000000.0,9591000000.0,135893000000.0,84893000000.0,10675000000.0,13339000000.0,0.82,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E20,Shaftesbury Capital plc,2022-12-31,GBP,20.56,GBP/ZAR period-end,74100000.0,16800000.0,,744400000.0,27200000.0,,2351200000.0,1561600000.0,41900000.0,136400000.0,1523496000.0,345408000.0,,15304864000.0,559232000.0,,48340672000.0,32106495999.999996,861464000.0,2804384000.0,0.0,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E20,Shaftesbury Capital plc,2023-12-31,GBP,23.29,GBP/ZAR period-end,195100000.0,53200000.0,,1629700000.0,67500000.0,,5216300000.0,3480200000.0,96000000.0,158800000.0,4543879000.0,1239028000.0,,37955713000.0,1572075000.0,,121487627000.0,81053858000.0,2235840000.0,3698452000.0,0.0,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E20,Shaftesbury Capital plc,2024-12-31,GBP,23.64,GBP/ZAR period-end,227100000.0,60000000.0,,1467800000.0,72000000.0,,5231900000.0,3674300000.0,84800000.0,170100000.0,5368644000.0,1418400000.0,,34698792000.0,1702080000.0,,123682116000.0,86860452000.0,2004672000.0,4021164000.0,0.0,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E20,Shaftesbury Capital plc,2025-12-31,GBP,22.45,GBP/ZAR period-end,238900000.0,61200000.0,,1210800000.0,63800000.0,,5880900000.0,4568100000.0,98100000.0,155100000.0,5363305000.0,1373940000.0,,27182460000.0,1432310000.0,,132026205000.0,102553845000.0,2202345000.0,3481995000.0,0.0,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
